Outcome,Probability
T,0.500000
H,0.500000
TT,0.250000
HT,0.250000
TH,0.250000
HH,0.250000
TTT,0.125000
HTT,0.125000
THT,0.125000
HHT,0.125000
TTH,0.125000
HTH,0.125000
THH,0.125000
HHH,0.125000
TTTT,0.062500
HTTT,0.062500
THTT,0.062500
HHTT,0.062500
TTHT,0.062500
HTHT,0.062500
THHT,0.062500
HHHT,0.062500
TTTH,0.062500
HTTH,0.062500
THTH,0.062500
HHTH,0.062500
TTHH,0.062500
HTHH,0.062500
THHH,0.062500
HHHH,0.062500
TTTTT,0.031250
HTTTT,0.031250
THTTT,0.031250
HHTTT,0.031250
TTHTT,0.031250
HTHTT,0.031250
THHTT,0.031250
HHHTT,0.031250
TTTHT,0.031250
HTTHT,0.031250
THTHT,0.031250
HHTHT,0.031250
TTHHT,0.031250
HTHHT,0.031250
THHHT,0.031250
HHHHT,0.031250
TTTTH,0.031250
HTTTH,0.031250
THTTH,0.031250
HHTTH,0.031250
TTHTH,0.031250
HTHTH,0.031250
THHTH,0.031250
HHHTH,0.031250
TTTHH,0.031250
HTTHH,0.031250
THTHH,0.031250
HHTHH,0.031250
TTHHH,0.031250
HTHHH,0.031250
THHHH,0.031250
HHHHH,0.031250
TTTTTT,0.015625
HTTTTT,0.015625
THTTTT,0.015625
HHTTTT,0.015625
TTHTTT,0.015625
HTHTTT,0.015625
THHTTT,0.015625
HHHTTT,0.015625
TTTHTT,0.015625
HTTHTT,0.015625
THTHTT,0.015625
HHTHTT,0.015625
TTHHTT,0.015625
HTHHTT,0.015625
THHHTT,0.015625
HHHHTT,0.015625
TTTTHT,0.015625
HTTTHT,0.015625
THTTHT,0.015625
HHTTHT,0.015625
TTHTHT,0.015625
HTHTHT,0.015625
THHTHT,0.015625
HHHTHT,0.015625
TTTHHT,0.015625
HTTHHT,0.015625
THTHHT,0.015625
HHTHHT,0.015625
TTHHHT,0.015625
HTHHHT,0.015625
THHHHT,0.015625
HHHHHT,0.015625
TTTTTH,0.015625
HTTTTH,0.015625
THTTTH,0.015625
HHTTTH,0.015625
TTHTTH,0.015625
HTHTTH,0.015625
THHTTH,0.015625
HHHTTH,0.015625
TTTHTH,0.015625
HTTHTH,0.015625
THTHTH,0.015625
HHTHTH,0.015625
TTHHTH,0.015625
HTHHTH,0.015625
THHHTH,0.015625
HHHHTH,0.015625
TTTTHH,0.015625
HTTTHH,0.015625
THTTHH,0.015625
HHTTHH,0.015625
TTHTHH,0.015625
HTHTHH,0.015625
THHTHH,0.015625
HHHTHH,0.015625
TTTHHH,0.015625
HTTHHH,0.015625
THTHHH,0.015625
HHTHHH,0.015625
TTHHHH,0.015625
HTHHHH,0.015625
THHHHH,0.015625
HHHHHH,0.015625
TTTTTTT,0.007812
HTTTTTT,0.007812
THTTTTT,0.007812
HHTTTTT,0.007812
TTHTTTT,0.007812
HTHTTTT,0.007812
THHTTTT,0.007812
HHHTTTT,0.007812
TTTHTTT,0.007812
HTTHTTT,0.007812
THTHTTT,0.007812
HHTHTTT,0.007812
TTHHTTT,0.007812
HTHHTTT,0.007812
THHHTTT,0.007812
HHHHTTT,0.007812
TTTTHTT,0.007812
HTTTHTT,0.007812
THTTHTT,0.007812
HHTTHTT,0.007812
TTHTHTT,0.007812
HTHTHTT,0.007812
THHTHTT,0.007812
HHHTHTT,0.007812
TTTHHTT,0.007812
HTTHHTT,0.007812
THTHHTT,0.007812
HHTHHTT,0.007812
TTHHHTT,0.007812
HTHHHTT,0.007812
THHHHTT,0.007812
HHHHHTT,0.007812
TTTTTHT,0.007812
HTTTTHT,0.007812
THTTTHT,0.007812
HHTTTHT,0.007812
TTHTTHT,0.007812
HTHTTHT,0.007812
THHTTHT,0.007812
HHHTTHT,0.007812
TTTHTHT,0.007812
HTTHTHT,0.007812
THTHTHT,0.007812
HHTHTHT,0.007812
TTHHTHT,0.007812
HTHHTHT,0.007812
THHHTHT,0.007812
HHHHTHT,0.007812
TTTTHHT,0.007812
HTTTHHT,0.007812
THTTHHT,0.007812
HHTTHHT,0.007812
TTHTHHT,0.007812
HTHTHHT,0.007812
